"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"bio1",1,-0.329433328862431,0.823231347035448,-0.240287895743374,0.996311498600738,0.989606625356976,-0.532382775652842,0.999077722661201,0.997341322031171,0.999715234984705,0.999470540812226,0.529194710563262,0.419620861940098,0.581602237166173,-0.631400259854077,0.45057441142525,0.592772939827251,0.547346315780596,0.454997185940869
"bio2",-0.329433328862431,1,-0.283942112057872,0.0566165506207567,-0.254629372568619,-0.45628642682712,0.95775616697782,-0.323588793203838,-0.370170037027366,-0.323439750261483,-0.320061245229769,-0.607780891843425,-0.503663275686747,-0.741263960920436,0.788748347580192,-0.517340851067805,-0.746494854756347,-0.473315109876202,-0.680688539314568
"bio3",0.823231347035448,-0.283942112057872,1,-0.576894421673363,0.80863835135289,0.831386411461393,-0.545996951017303,0.819673328159844,0.828898158243129,0.813456956495838,0.832949374759563,0.525941603888411,0.445609654020209,0.526442594735805,-0.511350270157043,0.475424122992768,0.535599500692298,0.565054921624734,0.432891149463741
"bio4",-0.240287895743374,0.0566165506207567,-0.576894421673363,1,-0.23693529265178,-0.259993785767659,0.226214652723573,-0.236139320811603,-0.244352579766548,-0.220862485779816,-0.268722202612405,-0.0675386572189607,-0.0353420748053847,-0.0263062911153303,0.174011750763141,-0.0459344225765956,-0.0377281969412433,-0.116463687616883,0.0108549589833456
"bio5",0.996311498600738,-0.254629372568619,0.80863835135289,-0.23693529265178,1,0.975644634568765,-0.463139391169495,0.99583657561666,0.990503123950648,0.996706068154397,0.996523341966973,0.481813282535952,0.378371717925023,0.52631366475348,-0.583336166031383,0.409016729934149,0.537222224290906,0.507728672038736,0.40575501603145
"bio6",0.989606625356976,-0.45628642682712,0.831386411461393,-0.259993785767659,0.975644634568765,1,-0.646272488442221,0.987673130212253,0.993895974754579,0.987915825562402,0.98854931413022,0.58381393221234,0.46667365144463,0.650878174388961,-0.710675464823599,0.498000733594875,0.662006569529084,0.579779326632561,0.527650136339205
"bio7",-0.532382775652842,0.95775616697782,-0.545996951017303,0.226214652723573,-0.463139391169495,-0.646272488442221,1,-0.526222904075089,-0.569919727545582,-0.524178665736327,-0.527373872109105,-0.682680547299845,-0.569245554936327,-0.798835980183049,0.842067831446968,-0.589209905810572,-0.805849837712832,-0.57622391594458,-0.720351625715619
"bio8",0.999077722661201,-0.323588793203838,0.819673328159844,-0.236139320811603,0.99583657561666,0.987673130212253,-0.526222904075089,1,0.994753617964026,0.998676853538063,0.998280865933106,0.513060335361719,0.401230278848109,0.568685820648338,-0.631620722240533,0.432422081587625,0.580448971452514,0.536845817089598,0.434367424412775
"bio9",0.997341322031171,-0.370170037027366,0.828898158243129,-0.244352579766548,0.990503123950648,0.993895974754579,-0.569919727545582,0.994753617964026,1,0.996737614631184,0.996675815978825,0.567215893498992,0.45840620660817,0.619450665300977,-0.650580663741787,0.489971935225658,0.629713256582033,0.573478584994189,0.502242652201013
"bio10",0.999715234984705,-0.323439750261483,0.813456956495838,-0.220862485779816,0.996706068154397,0.987915825562402,-0.524178665736327,0.998676853538063,0.996737614631184,1,0.998738450088909,0.526643735528978,0.417943941112195,0.579232853752325,-0.626689844347085,0.448455611160754,0.590186818863706,0.544179625029046,0.453948429916444
"bio11",0.999470540812226,-0.320061245229769,0.832949374759563,-0.268722202612405,0.996523341966973,0.98854931413022,-0.527373872109105,0.998280865933106,0.996675815978825,0.998738450088909,1,0.52292098798704,0.414119337909757,0.572251806570613,-0.625930731163689,0.4450481230364,0.583640120595298,0.543026575509458,0.447020448329091
"bio12",0.529194710563262,-0.607780891843425,0.525941603888411,-0.0675386572189607,0.481813282535952,0.58381393221234,-0.682680547299845,0.513060335361719,0.567215893498992,0.526643735528978,0.52292098798704,1,0.972179635488716,0.95236838912231,-0.546035644701856,0.980667399833509,0.952480109404016,0.958938877759065,0.924064608821346
"bio13",0.419620861940098,-0.503663275686747,0.445609654020209,-0.0353420748053847,0.378371717925023,0.46667365144463,-0.569245554936327,0.401230278848109,0.45840620660817,0.417943941112195,0.414119337909757,0.972179635488716,1,0.87190351232684,-0.372817348376463,0.992979391624389,0.868242257471354,0.932324930934174,0.894468065038117
