"country","fuente","tipo_fuente","first_level_div","second_level_div","Localidad","lat","lon","sp"
"Ecuador","Marco Jimenez","Observacion","Zamora-Chinchipe","Zamora","Parroquia Sabanilla, vía Loja-Zamora",-3.972909,-79.081447,"Sobralia turkeliae"
"Ecuador","QCA","Artículo","Zamora-Chinchipe","Zamora","vía Loja-Zamora, sector San Francisco",-3.971667,-79.078889,"Sobralia turkeliae"
"Ecuador","QCNE-124406","Herbario","Napo","Archidona","arque Nacional Napo-Galeras, Cordillera de Galeras",-0.65,-77.5,"Sobralia turkeliae"
"Ecuador","QCNE-149706","Herbario","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-3.966667,-79.066667,"Sobralia turkeliae"
"Ecuador","HUTPL-12415","Herbario","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-3.983056,-79.078889,"Sobralia turkeliae"
"Ecuador","LOJA","Herbario","Zamora-Chinchipe",NA,"San Ramon, Planta lectrica",-3.990389,-79.072083,"Sobralia turkeliae"
"Ecuador","M. Jimenez & F. Werner","Observacion","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-4.028611,-79.008167,"Sobralia turkeliae"
"Ecuador","M. Jimenez & F. Werner","Observacion","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-3.962111,-79.01575,"Sobralia turkeliae"
"Ecuador","M. Jimenez & F. Werner","Observacion","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-4.819389,-79.286833,"Sobralia turkeliae"
"Ecuador","M. Jimenez & F. Werner","Observacion","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-3.598417,-78.475611,"Sobralia turkeliae"
"Ecuador","M. Jimenez & F. Werner","Observacion","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-4.857444,-79.207889,"Sobralia turkeliae"
"Ecuador","M. Jimenez & F. Werner","Observacion","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-4.926181,-79.111422,"Sobralia turkeliae"
"Ecuador","M. Jimenez & F. Werner","Observacion","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-4.557278,-79.126572,"Sobralia turkeliae"
"Ecuador","M. Jimenez & F. Werner","Observacion","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-4.05575,-78.933972,"Sobralia turkeliae"
"Ecuador","M. Jimenez & F. Werner","Observacion","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-3.979806,-79.089858,"Sobralia turkeliae"
"Ecuador","M. Jimenez & F. Werner","Observacion","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-4.116667,-78.616667,"Sobralia turkeliae"
"Ecuador","M. Jimenez & F. Werner","Observacion","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-4.1,-78.583333,"Sobralia turkeliae"
"Ecuador","M. Jimenez & F. Werner","Observacion","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-4.2,-78.683333,"Sobralia turkeliae"
"Ecuador","M. Jimenez & F. Werner","Observacion","Zamora-Chinchipe","Zamora","Estacion Científica San Francisco",-3.983333,-79.083333,"Sobralia turkeliae"
"Ecuador","Henry Garzon","Herbario","Morona-Santiago","Gualaquiza","Tumbez",-3.30571,-78.57074,"Sobralia turkeliae"
"Perú","PRG-20395","Herbario","Cajamarca","San Ignacio","camino hacia el cerro Parcos",-5.071207,-78.871442,"Sobralia turkeliae"
"Perú","MO-04918051","Herbario","San Martín","Rioja","vía Rioja-Pedro Ruiz",-5.674722,-77.773611,"Sobralia turkeliae"
"Perú","HOXA-037904","Herbario","Pasco","Oxapampa","Parque Nacional Yanachaga-Chemillen",-10.278889,-75.516667,"Sobralia turkeliae"
"Perú","HOXA-019002","Herbario","Pasco","Oxapampa","Parque Nacional Yanachaga-Chemillen",-10.647361,-75.503972,"Sobralia turkeliae"
"Perú","Jones s.n.","Observacion","Amazonas","Bongará","-",-5.676472,-77.77575,"Sobralia turkeliae"
"Perú","Miler Duran","Observacion","Huánuco","Chinchao","Área de Conservación Regional Bosque Montano de Carpish",-9.646986,-76.045886,"Sobralia turkeliae"
"Perú","Miler Duran","Observacion","Huánuco","Chinchao","Área de Conservación Regional Bosque Montano de Carpish",-9.597388,-76.088605,"Sobralia turkeliae"
"Perú","Gerlach s.n.","Observacion","Pasco","Oxapampa","-",-10.631083,-75.456528,"Sobralia turkeliae"
"Perú","J. Edquen","Herbario","San Martín","Rioja","Bosque de Protección Alto Mayo",-5.6976,-77.7577,"Sobralia turkeliae"
"Perú","J. Edquen","Observacion","San Martín","Rioja","Bosque de Protección Alto Mayo",-5.7164,-77.7306,"Sobralia turkeliae"
"Perú","J. Edquen","Observacion","San Martín","Rioja","orilla del río Aguas Verdes",-5.7627,-77.7053,"Sobralia turkeliae"
