"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"L",0.5,"fc.L_rm.0.5",0.812925469483568,0.893,0.13678124918435,0.139254997006204,0.692127182679508,0.123909577723935,0.38925,0.209503182155626,0.25,0.215165741455968,0.0416666666666667,0.0833333333333333,418.678349449981,4.7461038120266,0.0327155678744629,6
"LQ",0.5,"fc.LQ_rm.0.5",0.849882629107981,0.766,0.142491615117584,0.140411243824833,0.71313669642158,0.124392841347216,0.56475,0.36420358317842,0.333333333333333,0.360041149911548,0.208333333333333,0.159571184626056,413.932245637954,0,0.351040974251974,7
"LQH",0.5,"fc.LQH_rm.0.5",0.935534037558685,0.862,0.158292387701302,0.17582745496243,0.791722946519458,0.17272774446716,0.65225,0.240994294538273,0.458333333333333,0.369559297101391,0.291666666666667,0.25,NA,NA,NA,28
"L",1,"fc.L_rm.1",0.788805751173709,0.713,0.160776042074492,0.157419904134254,0.66164797196774,0.14655817398995,0.40475,0.383059068552097,0.375,0.438325939946097,0.0416666666666667,0.0833333333333333,416.454190053478,2.52194441552439,0.0994774260595261,3
"LQ",1,"fc.LQ_rm.1",0.803169014084507,0.81,0.167367310051419,0.168385364067053,0.651537174066244,0.153400430572478,0.223,0.212281259967368,0.25,0.215165741455968,0.125,0.159571184626056,426.055298118443,12.1230524804886,0.000818220607163187,7
"LQH",1,"fc.LQH_rm.1",0.913209115805947,0.821,0.127555431576749,0.149173471668363,0.814440431446245,0.154989494916475,0.82225,0.119647746879468,0.333333333333333,0.360041149911548,0.166666666666667,0.235702260395516,682.605577756043,268.673332118089,1.59839835704237e-59,20
"L",1.5,"fc.L_rm.1.5",0.777992957746479,0.606,0.166884445227468,0.159105221088061,0.655775291676454,0.15312308184767,0.3655,0.359737404227028,0.375,0.438325939946097,0.0833333333333333,0.166666666666667,418.553826062585,4.62158042463136,0.0348172425656697,3
"LQ",1.5,"fc.LQ_rm.1.5",0.775234741784038,0.848,0.170852582674288,0.167139179924899,0.652288387753504,0.159069006170201,0.11,0.404407385359532,0.375,0.438325939946097,0.166666666666667,0.192450089729875,421.614023711235,7.68177807328078,0.00753842983601036,4
"LQH",1.5,"fc.LQH_rm.1.5",0.89266920970266,0.86,0.109090745960901,0.134196492578365,0.791152807141179,0.115701547586738,0.62275,0.260797974174136,0.208333333333333,0.209717623201965,0.125,0.159571184626056,438.662985402147,24.7307397641927,1.49673841291856e-06,13
"L",2,"fc.L_rm.2",0.765179968701096,0.616,0.159388621355676,0.154536257074385,0.662873893978545,0.149062769376164,0.301,0.3331496160386,0.375,0.438325939946097,0.0833333333333333,0.166666666666667,421.204440978406,7.27219534045162,0.00925168116138967,3
"LQ",2,"fc.LQ_rm.2",0.763140649452269,0.857,0.172284864145329,0.163585904709377,0.655696989272571,0.159853084081838,0.1705,0.292358797826689,0.375,0.438325939946097,0.166666666666667,0.192450089729875,420.682995388351,6.75074975039718,0.0120074594466339,3
"LQH",2,"fc.LQH_rm.2",0.883827269170579,0.899,0.138018590295722,0.14312596697799,0.737447145877378,0.132701743676401,0.41575,0.430410172587343,0.333333333333333,0.192450089729875,0.166666666666667,0.235702260395516,414.479157731806,0.546912093852086,0.267052937219405,9
"L",2.5,"fc.L_rm.2.5",0.763365610328638,0.696,0.141976124292016,0.147417273298649,0.680966643175945,0.141409152131223,0.2365,0.354127566469109,0.375,0.438325939946097,0.125,0.25,422.081513101063,8.14926746310908,0.0059671487730015,3
"LQ",2.5,"fc.LQ_rm.2.5",0.759991197183099,0.833,0.172363982199254,0.164891919476765,0.656215742698301,0.162450898124012,0.21125,0.1066532543651,0.375,0.438325939946097,0.208333333333333,0.25,421.337883219286,7.4056375813318,0.00865454106451572,3
"LQH",2.5,"fc.LQH_rm.2.5",0.871879890453834,0.902,0.141835016835017,0.146495014185853,0.720064012215175,0.131517745654133,0.235,0.380007894654835,0.375,0.369559297101391,0.166666666666667,0.136082763487954,415.939300666196,2.00705502824201,0.128686014118923,8
"L",3,"fc.L_rm.3",0.759878716744914,0.819,0.121860562994284,0.138987380056352,0.698878318064365,0.13539302790065,0.326,0.470602450765683,0.25,0.396746023807936,0.166666666666667,0.235702260395516,423.152855914725,9.22061027677108,0.0034924301572603,3
"LQ",3,"fc.LQ_rm.3",0.760529147104851,0.713,0.168222111293817,0.160306958950401,0.658789934225981,0.160857347015276,0.25025,0.3021593122841,0.375,0.438325939946097,0.25,0.215165741455968,422.144726968227,8.21248133027302,0.00578149492783444,3
"LQH",3,"fc.LQH_rm.3",0.861321400625978,0.716,0.147055992743977,0.139892508190636,0.701437827891316,0.122208753963529,0.021,0.231316521963593,0.333333333333333,0.360041149911548,0.25,0.215165741455968,418.679488845434,4.74724320748004,0.0326969351978172,7
